link
Institute of Computer Science  [in German]
Institute of Distance Learning & Further Education (IDF)  [in German]
Institute of Joint Degree Programs in North Rhine-Westphalia  [in German]
schedule for semester kick-off weekend
schedule for online sessions
schedule for semester kick-off weekend
schedule for online sessions
ILIAS
